,reviews,Verified_status,word_count,spl_characters
13,not reliable airline you cannot trust time at all had am flight board time but then we are sit plane already hour expect departure is still not clear they have disco engine is not work am risk be late busy meet geneva how come they bring not work plane gate the funny thing is that had not busy trip spring also with ba amsterdam when arrive airport that time told dont have seat put next flight never hour which should have get me busy meet late but still not too much a lot stress in end second plane we were sit cabin hour have miss meet thought it drama unlucky case that time but today see it routine ba not fly time,✅ Trip Verified ,126,3
14,take comfort read last ten or so review see in not only travel put word how absolute abyss british away are the only reason we are stuck use the a airline is use up point we book club europe month ago london then sat row told they had run out food option only choice until pie or green burri return then london club europe couldn check online as promise so arrive at airport he early to be told they had overtook flight basic we were be bump economic the airline fail devil time time again it is nation disgrace implore everyone choose an alter,✅ Trip Verified ,105,1
15,the worst journey my life the connect time at the only hour but flight from map delay had rush change german by train arrive risk heart attack after that plane just stay there not minute despite that upon arrive at sac my baggage lost fill form gave employe not given and receipt so did not have and refer number ba phone number at sac simple never answer call twice toll free number realize they did not record deliver address had enter myself online deal with shirt west they devil baggage three day later claim cowpens online as had buy cloth other stuff did never get receipt expect an upgrade flight back map but not happen neither they allow me enter ba long at sac bad custom service the only post side price but obvious the cannot justify the treatment if knew would never flown by ba never again,✅ Trip Verified ,151,1
16,the airplane long are worn out old broken from dallas heathrow multiple first class seat electron were non function poorly design the first class seat from heathrow dubrovnik not more than tray block middle seat standard coach ticket very disappoint,✅ Trip Verified ,40,0
17,one worst expert worst airline the flight delay due earlier tetanic issue the time slip from final cancel there zero inform given despite pay well over odd busy class we were boot out ba long two hour before flight when it final cancel ba staff without explain told everyone go gate after not hour or so they made us re enter up via passport control further minute wait by now airport close there no sign our bag or and help from ba a pass patrick engine final help us local bag ba complete wash their hand us contravent can rule refuse find us accommod man slept bu stop overnight there were people with young children who couldn find somewhere stay yet ba had close down left the follow day replace flight also late due an admit mistake had no cater or liquid he flight overall service shocking bad worst have experience from and airline will not ever use them again,✅ Trip Verified ,166,4
18,cancel our flight lastminut then move us onto flight day later over by japan airline we had paid lot extra extra bedroom seat as am very tall they assign me middle seat deep middle plane because it over by differ airline but book by ba neither ba nor other airline could change my seat over phone despite seat be avail after hour wait queue sit hold their slut me arrive early at airport did but seat had already been given away free by people who had book directly with that airline could check online got meal voucher as cowpens the norm downward hour flight never again will fly ba would rather fly indirect with better airline than use the disgrace an airline again,✅ Trip Verified ,127,0
19,had flight from mimi florida dublin ireland via london heathrow airport the outbound flight from mimi delay we were further delay when our gate occupy when we arrive heathrow the total delay roughly an hour but it enough make our connect challenge where we had minute between origin arrive time until departure time dublin when we head our connect flight we were stop by secure personnel at checkpoint told us that gate our connect flight had already close the twenty minute prior departure time they usher us custom service be ebook given busy weekend travel we were ebook flight at differ airport were told that our cost get there would be reimbursed we then wait hour our luggage then took cab london city airport the cab fare roughly when file claim with british away they refuse claim told me that we had plenty time make our connect flight therefore they den my claim be reimbursed cab fare the is after explain that it british away employe who usher us ebook flight despite minute timefram make connect flight the person who ebook us told us it policy that they close gate minute prior departure will never fly the a airline again given other feedback the site it appear that that is overwhelm sentiment,✅ Trip Verified ,217,1
20,we start our day with ba prague the flight actual left time came find out that very unusual we purchase busy class seat as you can see from picture they hardly were busy class all they did block off middle seat first few row call it busy class horrible flight in admit had really rude rude check clerk basic yell at me when excuse myself ask if she could give little bit priority man busy class passing who weren be serve then we got heathrow real fun began we had hour delay they gave us about differ excuse delay had few employe walk away while ask them question they were very rude at one point there were no employe left and from announce it seem virtual every ba flight delay and there were no weather issue there no place comfort store item busy class give never experience that before not even cup holder my bottle water the seat control didn work well you had keep push button get them do any the power outlet didn work there no internet enter flight the overhead luggage bin too heavy almost got hernia have close it the is horrible airline ill never fly with them again if could give zero star would,✅ Trip Verified ,211,1
21,fly british away weekly not because want but because they own rout there no other option therefore they franklin dont have care about custom the flight are away delay it away someone else fault be it weather delay income aircraft or flight traffic control issue give heard it all life me cannot understand who they are allow over give been around world travel with all world airline but british away are really worst worst it such shame have watch what use be good company fall down cliff my advice is if you have an option fly with anyone else then exercise option but if your fly with differ connect you have tight schedule do not expect ba get you your destiny time,✅ Trip Verified ,122,0
22,every ok until our connect flight london just before take off we were runaway pilot came announce an engine problem after engine try fix it while we wait plane over an hour we were final told that we would have be each ebook not flight but not worry because special crew wait us ground help us set us up hotel except that there no one help us in fact everyone refuse help us it saturday almost pm they just want go home anyone with connect flight couldn ebook applied because pp wouldn disassoci our first flight with connect one london staff saw the but still refuse help us they gave us phone number but there only message that said just use pp final got someone phone who ebook us next day now it pm have find hotel room because airline refuse also help us with that so i had choice either sleep airport or pay over gap room dont have money pay the but after hour flight hour jet law insane stress after fact that no one from british away would help us took room of course claim reimbursed but that over week ago haven heard any since so have no idea when or how much ill be reimbursed even though in not claim and mot cowpens from horrible situate they put me through due their total differ it finance difficult me right now because money had put out is equal half my salary course it impose reach them by phone feel still as i did august complete trap by them their differ with no slut or inform,Not Verified ,274,1
23,my into flight cancel hour prior flight then automatic reschedul next day next day flight delay leave hamburg miss my connect flight la vera me never other passing spent night london british away proved us with voucher but transfer bu drop us at wrong hotel closest our hotel told us that we can walk there if we want to as result lost two night hotel reserve that made la vera open claim proved all receipt british away get refund my hotel reserve but over week now not single feedback from british away will avoid all flight with them future will share the story,Not Verified ,105,2
24,we will never fly british away again our flight julie from the lax cancel hour before departure without and explain since week we are now wait refund ba doe not pay us cost cause by cancel very disappoint,Not Verified ,42,0
25,check secure clearance very quick at the t my wife use gallery north long at am it east get seat good buffets breakfast option flight board time flight depart time seat a club europe seat a seem be get smaller bedroom i am ft very tight cabin crew service fine chose full english breakfast it ok but there lot water bottom bowl flight land time overall an ok flight but club europe doesn feel very premium these day,✅ Trip Verified ,79,2
26,british away ha confirm itself as worst airline up last minute cancel no explain refuse book with not airline because we dont have an arrange with them what happen what use be our nation airline,Not Verified ,35,1
27,worst ba expert suppose fly out italy september arrive at or tambov inter airport ready check my bag i already checked online previous even so had my board pass ready at counter told that had been offload from flight as my connect flight ha been cancel no inform sent regard the beforehand the team at checking counter try get me not flight that even but there were no flight avail they did manage get me not flight follow even with lufthansa italy via frankfort howe did miss first part my trip have arrive day half later than suppose to upon move flight did ask ba staff whether my flight back are still valid that every is order which they assure me is correct have fly back south africa september upon check my book inform notice my ba account that my first flight milan london is just miss from my book my connect from london johannesburg is still there after spend enter more custom helping two differ over pick up both instant moment proceed give my book refer number my call get drop current it seem like will be arrive at airport again monday without flight,✅ Trip Verified ,198,4
28,my daughter were den board our busy class flight from madrid heathrow march first leg our return flight victoria canada no reason given den board by check staff at british away counter madrid who said they were only agent told us call british away we were three hour early flight had valid passport after man try we final reach british away by phone but we were told call expedite which had book flight expedite confirm that we had been bump from flight with no explain as who expedite then began long process find alter flight over next hour we had number call with both expedite british away inured next avail flight were day later april the almost unbelief but after man man try it best we could do even though these were busy class ticket part problem that appear rule did not allow and change rout and segment flight the nine day delay major problem us had miss work my daughter miss school further we receive no cowpens from british away no penalty fee not and reimbursed our expense stay nine extra day after our return began british away online complaint process submit all support document receive an email reply case refer number and then not sent number follow up email receive no reply it is now month later still have not heard from british away the is shock definite worst airline service have receive my thousand flight over man dead am very patient person the is first time have comment the type forum think public should be made war extreme poor custom service at british away,✅ Trip Verified ,272,0
29,despite board be usual free all at the with group be call board all at on whilst those passing who had are check bag at gate get board before anyone else howe service board impact superb crew friendly attend interact with passing genet appear be enjoy their job like ba old day at it best food choice quality seem have improve too no beef cheek thank even club kitchen appear have return old style club seat but is at least better feel less cramp s,✅ Trip Verified ,86,3
30,flight cancel no crew th september not peak holiday period so who such bad manage by ba sent gate left stand over hour then flight cancel as were other that day who doe ba continue proved such poor service nation disgrace,Not Verified ,43,2
31,the worst service ever my baggage did not arrive time both my flight were delay will never fly them again even food bad your service,Not Verified ,25,0
32,flight we book the holiday were delay about hour no wife avail flight food drink very basic expense cannot recommend,✅ Trip Verified ,24,1
33,british away ha total lack respect it custom book fly from frankfort main london city airport just couple hour before schedule departure flight suddenly cancel by ba without explain when already at airport the worst thing utter callous that staff show toward custom the ground staff attitude that they are mere third part agent not ba employe therefore they quickly wash their hand us all tell us we had contact ba directly via phone if we want help they couldn even proved us phone number tell us look it up bacon so ba abandon it passing they did tell us that ba departure heathrow had also been cancel mean there would be no further ba flight from frankfort london that day although other airline were still over rout but ba refuse ebook us them the reason given both cancel tetanic reason no assist or inform proved our right due cancel nor and inform help regard food accommod help etc their attitude later that cancel had not do with them it our problem not their receive an email an hour later notify me that had been automatic ebook an alter flight hour later which want accept as had get back london that night rang ba call cent again they show high degree callous balfour call spent with me wait hold with phone just cut off after half an hour no meaning inform given me by that point there no attempt by call over call me back when line cut and had solid phone signal wife as still stand german frankfort main airport even though my phone number is list my book contact detail they just dont care in end had arrange my own return london by take coach hand airport which km away wait there hour then book an expense last minute ticket with ryanair stand at least that flight over time got me back london ba is words than low cost carrier now,✅ Trip Verified ,329,8
34,london heathrow keflavik iceland busy class an a british away proved an unusual busy class expert intraeurop flight the seat is similar most airline middle seat vacant little extra space but british away busy class cabin extend almost half aircraft the make it less than premium expert at every step from board board the wife work only half flight there are no refund but when it work it surprisingly fast service the flight very good we got keflavik time,✅ Trip Verified ,81,0
35,lumbar london heathrow busy class an age b the aircraft feature older club world flat seat they are comfort there is enough storage space around cubic monitor screen is among larger one give seen airplane ba new club suit are said be far superior comet with best class rival the enter busy class cabin had just mushroom but it want an issue the flight since premier section want at full cap there wife board fast enough even send video via message pp service board comet but staff lack warmth the food alright no more the biggest plus the flight is that it get out bombay at pm afternoon instead ungodly early more hour most inter flight take off from india the airport expert is far more pleasant at the time in summary british away proved good but not spectacular busy class product,✅ Trip Verified ,144,2
36,care support shock written by previous loyal ba travel lie mislead profession service told that my flight cancel book next avail flight downward cabin from busy premium economic call ask who told tetanic fault with my origin flight my suspicion not reason at airport check staff said that not enough crew staff origin flight earlier day who take my money allow me book flight which would have allow me get work as doctor first place how can you trust such an organs look after you as fly custom,✅ Trip Verified ,88,1
37,fly a busy class should be pleasure but ba ha made it disease with worst seat configur imagine how could and sane person could jam so man seat into limit space expect passing be happy seat are narrow than economic some airline you must face not person until plastic screen is rays the to screen are size medium size tablet control are behind your head sit post there is no where put any except one small pull out draw at ground level that can not be reach when seat nor access when sleep the window seat middle seat are access by have jump over passing an aisle seat seat are so low that they are hard elderly get out of the whole busy class set up is sick joke eat is difficult because seat is not close enough table table are so flies that drink can fall off are there and redeem feature answer is no if you like little comfort avoid ba like plague,✅ Trip Verified ,167,0
38,british away absolute doe not care my reserve seat change from an aisle center seat the overnight full flight it quit a after enquiry at lax check in agent said sorry not we can do board flight attend seem try finish meal service at race speed with meal tray pass out with no proper question about choice then back clear tray they disappear rest kitchen hour after that no water run if you need any do not bother with call bell as they simple ignore it use like travel british away year ago but bean counter have been lower it close lowest carrier guess staff are badly paid from their terrible attitude service my last trip london with felt they are so much better than the very poor excuse an airline that british air ha now become,✅ Trip Verified ,138,0
39,my recent expert with british away not just horrid it an utter basic response their part arrive at of ready my flight balaga only find it had been cancel with zero notice after drain hour alter final place differ flight the nightmare continue when land balaga san luggage contain essential my son wed thirty ago hour later bag show but my branded pad special watch my nephew were miss the item weren mere valuable they had mot signify which made loss even more gutwrench you think repute airline would make amend such error despite clear mishandl my baggage by their team they refuse offer and reimbursed or even modest amount airline credit their custom service not only effect but also astonishing callous their response wa essence it your fault trust us with your belong the isn just poor custom service it complete disregard basic human decent response british away had number opportune right their wrong chose not to if you have and respect your time belong mot well avoid british away at all cost they not only fail devil promise but also refuse make amend when they err leave custom bear brunt their income,✅ Trip Verified ,194,0
40,the is express our displeasure concern regard our flight italy our trip effect ruin by failure our luggage arrive with us couple with length time it took it events reach us day our departure date june flight ba chicago london june ebook by ba ba london rome all flight were late on arrive rome my wife for walk checking desk because our reserve wheelchair assist from plane never transfer by ba she told by cabin crew that there no reserve her transport also our check baggage fail make ba ebook flight from london rome ba took day devil my bag day devil my wife call ba baggage claim service daily frequent cut off after wait hold over an hour we had apply air tag both bag sent picture show their exact local ba baggage claim never time after day ba state that they found my wife bag but need verify ownership both bag as describe had bright pink vasili visible tag bright pink bow take day devil them is nexus our return date julie ba rome london ba london chicago all flight were late we arrive chicago more than hour late miss our ground transport our home michigan hour away we had find hotel stay overnight near chicago on julie we file our expense replace lost cloth toilet also food purchase at heathrow due flight delay overnight hotel charge chicago after week went online ask some followed both case but have had no response at all from ba we are retire fix income cannot fund ba error can honestly say that time all reach human be they were all courteous attempt help but appear at loss,✅ Trip Verified ,299,8
41,flew london balaga august club europe we stood around at gate b german over an hour with staff give very differ reason delay late bound aircraft etc but plane we board had been sit there more than an hour after board captain state that because they had change plane there would be no meal serve the is club europe we receive one small packet crisp throughout flight no effort apologies we smelt hot meal pilot be heat then saw it be serve them club europe meal tray cabin crew also had warm past were very quick use air fresh front galley while custom receive rich ba sent an email follow more say sorry not else what complete utter rip off by an airline that is already cut back so man thing paid full busy class fare did not receive and part board meal service they expect an email be suffice avoid ba if you have and other option nowadays they are worst europe,✅ Trip Verified ,168,3
42,arrive at airport about hour before takeoff have more than about time get check in go through secure etc all that went without and issue be that red early at gate one first passing there after some time board had open first busy class got call up then family with children distal people a couple minute into board they start call up people one by one by name then there an announce they wont let anyone anymore me about fifty other people were still stand at gate not be let in the reason they said that plane short staff later disco speak manage that not only flight short staff but also it overtook after announce people were get angry because they wouldn be let anymore not change everyone sent away had connect flight later that day that go miss because not let plane first try get my luggage back which didn receive dimmed but got hold later thank airport personnel then just like everyone who go fly with same plane want talk someone from british away since they dont have service center at frankfort airport everyone went checking counter where we receive food voucher but not single person either all ebook my or anyone flight nor get anyone refund all staff said that we were go receive an email couple hour with option ebook flight or get refund wait four hour email at airport that did not come until today try call airline did not help either because they did not answer phone or hung up middle covers after four hour wait email me some other people from same flight went back checking counter get confirm from them that will receive refund be that there new shift personal did not know what had happen when they scan my passport an look at flight they found out that system die that it my fault could not attend flight it look like had miss it for everyone stand there with me it exactly same but people at counter said they could not do any about it later we were all speak manage after man phone call he said they were go take care it we are suppose get an email at some point future not all get written confirm that will get refund even after never time ask it already flew lot time my life but never ever ha such thing happen me not only that me so man other people were not let into plane but also custom service be so horrible that they were not all ebook or confirm refund and way in end only option me get my destiny would have been book last minute flight lot money which would not know if ever got it back,✅ Trip Verified ,459,3
43,filthy plane cabin staff ok appeal custom service staff who couldn care less when deal with complaint paid extra club europebusi class food poor they gave you wipe clean your seat area yourself we were split up so they could accommod family not really what you expect when you pay extra service will be cancel our other book we have with ba even if that mean we lose our deposit,✅ Trip Verified ,70,1
44,chat at german with ba cancel delay staff give differ reason depend who you ask out answer were lie sadly ba airport standard at t are words than ever we are long past be all use could as an excuse as short haul club europe trip expect very little from ba and more they bare even proved that with cusack due could that are now german if you can find an alter carrier same rout choose them rather than ba sadly my rout ba have monopoly,✅ Trip Verified ,89,0
45,ba cancel our flight could not book us onto and flight next day had spend k expense get us back with not airline month later am still wait reimbursed have had no response my written complaint even call cent staff tell me that head office have taken down telephone number email depart who deal with the so even they cannot local or inquiry utterly useless,Not Verified ,68,0
46,when our way heathrow airport mere half hour before schedule departure we receive an s state that our flight johannesburg had been cancel an no reason given we were then put same flight one day later with no other choice offer as we were already at airport we proceed check ask what cause cancel appear pilot sick there nobody avail standi what we could do about it the busy class checking desk assist unsympathet told us we could not check our bag follow day we found someone else who told us we could check them he prior departure so we wait at airport an further hour check them in after which we went back home we were not offer refund nor told how claim extra expense incur train change fee connect flight zimbabw loss one night stay at very expense salary long etc we were not offer any smooth profession under disorganised lack of service avoid british away find better cheaper option,✅ Trip Verified ,165,6
47,nice flight good crew very good seat food what you would expect the aircraft had new style busy class seatssuit actual plane as not new and since word there were part seat that were broken or miss howe seat still sat well work seat also long enough really lay out get some sleep the video system work great had plenty content the headphon howe were cheap didn feel or work particular good the layout the had lot busy class seat lot we sat forward cabin enter aircraft turn left that cabin is quieter part aircraft the crew very nice were there enter time and need or want we might have had one draw back seat is as we were travel as couple middle livid didn open enough really feel like you your mate are travel together the is what it is crowd expanse but we had good long visit were complete time all flight,✅ Trip Verified ,155,4
48,month have pass still wast my time with ba team share same document again again our flight from delhi london got delay december so we miss connect flight from london heathrow vancouver ba put us flight after hour on reach vancouver we were told our baggage lost such horrible expert their custom relate person did not even look into detail already share december january april julie,✅ Trip Verified ,69,0
49,in june my flight cancel within three hour departure wa given ebook next day they lost my suitcase it arrive three day later today th august it happen again offer ebook two day when try post claim west doesn work never again ba,✅ Trip Verified ,46,0
50,ground cabin crew away proved good custom service when it come cater club class ha been reduce what economic wa on flight ba ravioli past had dry out along edge my slice camembert dry who bother serve it my bread roll white olive bread dry wonder whether anyone ba monitor that club class ha become economic when you get cry baby noise children club class now it glorify soulless bu trip without british,✅ Trip Verified ,73,1
51,my family flew from washington london british away a we were all secure seat upper deck pretty left fee our flight unfortun delay by he from cause us miss connect from patrick turn make it so that no long were open by time we got airport board sat window seat which had nice luggage bin which very convent all my stuff in flight entertain system didn work very well touchscreen distal control quit glitchi hard use it could use update the food dinner decent they had past with tomato sac which last good by airline standard the seat pretty comfort flight smooth after we miss our connect were stuck behind secure he wait escort they ebook us flight from heathrow milan next day gave us free bu ticket heathrow gave us free hotel room gave us dinner breakfast voucher great custom service,✅ Trip Verified ,146,1
52,east check t gallery south north long pack only just all get seat didn stay long as b gate long much quieter flight board smoothly time a upper deck old club world seat which is begin age little howe like large toilet the aircraft type cabin crew were all fantasy one family had teach issue with their seat entertain system which crew work hard though sadly without success food drink option were all very good entertain good overall an enjoy flight,✅ Trip Verified ,81,0
53,flight delay by an hour it happen no big had us change our gate at airport never happen before but guess it ok gate agent ask us check our bag after tell him we would prefer not do that he did it anyway second gate agent assign our seat from exit row regular which is huge squeeze my travel bud,Not Verified ,61,0
54,the staff are very rude not train properly no except are made children elderly people the price ticket is very expense given distance service is extreme extreme poor,Not Verified ,28,0
55,good domes flight over by ba cityfly ground service at checking edinburgh airport particularly friendly help the flight depart time arrive earlier than schedule a complimentary drink snack albeit tiny were serve genet it seem that quality cityfly subsidiary is superior mainly british away flight,✅ Trip Verified ,45,2
56,fail at all basic travel fundamental our flight delay staff demand that we check our carry luggage even though we met our carry allow the fact that we have tight bu connect total ignore staff were quit unless,Not Verified ,41,4
57,they lost my baggage very simple situate it been three week they dont care no common whatsoever at connect checkpoint at heathrow he before my connect flight last leg my trip an agent insist check my hand luggage since my plane is full and then they lose it claim it at arrive airport dimmed now it been three week no common whatsoever online state is still search your bag with no update my conclude is that ba male no effort find my miss bag they dont care,✅ Trip Verified ,87,0
58,late board led one hour flight leave two hour late a single ba staff member turn up board full flight shortly before flight due depart there had been no previous announce delay on board captain blame frankfort ground staff delay takeoff when clearly late board had result miss departure slot,✅ Trip Verified ,50,0
59,as usual flight is delay ba try blame someone unable incapac devil what they sell who dont you hire enough personnel fulfil your staff demand,✅ Trip Verified ,25,0
60,had most fantasy ba flight today the cabin crew my seat zone d were best have experience although had old style rearfront seat it comfort felt open spacious ba have done great thing with menu it nice not have eat breakfast food prearriv meal into hug at pm local time have left london at night before the dinner offer equal ample device the flight entertain had great collect to current film flight map first rate previous not huge ba fan but after the hour flight could only recommend it without reserve flew new ba suit j class recent delhi london flight enjoy that product although felt it slightly more cramp but think ba have step up with really comfort bed food very friendly crew who engage throughout flight best way couldn recommend ba more the flight today,✅ Trip Verified ,144,3
61,couldn book online arrive at check find we had been bump off due oversea no ba staff avail very help patrick staff got us bu the flight populous had knock effect our car book share as rest family had been all to board origin flight airline should be legal stop from sell seat twice,✅ Trip Verified ,54,0
62,london heathrow lumbar be busy class the long near german gate b at heathrow outstand it service offer it proved us just right frame relax before board as departure delay by almost hour the our flight feature older club world seat not best class but comfort enough hear that new club suit configur is far superior british away board service outstand every respect all all very comfort flight one minor merit some reason the aircraft not fit with wife we got into lumbar at am civil time arrive,✅ Trip Verified ,93,1
63,keflavík iceland london heathrow an a busy class the journey got off an unless note busy class line at keflavík so long that it look like an economic class checking it took over min get through there no long access offer the board process well hand british away busy class seat club europe product are terrible exactly same as economic with middle seat left vacant you dont even get extra pitch what made overall product tyler were good board service flight wife also fact that flight leave at convent midmorn time am,✅ Trip Verified ,96,1
64,terrible expert with british away book flight with ba travel from gibraltar london heathrow may my flight schedule leave at pm afternoon had origin plan leave my luggage at heathrow upon arrive travel visit overnight at my cousin place en rout rib airport few hour prior departure check my flight detail found out that my flight had been cancel had connect flight book with westjet from london heathrow vancouver follow day had make that flight so it impel that got london check ba west couldn find and other flight with them that would work so unfortun made mistake request refund manage find flight out balaga that got me into london just after pm so book that then call british away as want discuss cowpens that when they advise me that because had request refund they use phrase abandon travel with them they were not prepare do any me appear should have call them first then they would have made arrange of course they dont explain that their west they just ask if you want refund then proceed and even when plead my case with agent at balaga airport then follow up with custom relate never time via email they flat out refuse buds had use travel voucher cover cost my flight had use also cover cost my check baggage so other word no out pocket cost trip on the acid happen end up spend neuro afar check baggage charge get london from balaga in differ airport than one had origin book from and because luggage storage fail at heathrow had close by time events arrive end up book night at hotel since couldn travel by train my cousin place and longer bag tow didn want put him out have him drive airport pick me up the cost me not room meal cost all ba end up do cowpens me give me free also mere pittance compare my out pocket expense despite try explain them who request refund instead call them first they wouldn buds very east them say what should have done since they work there know rule they weren one scramble find alter travel arrange within few hour point out that their west they should simple instruct custom call them when the situate happen that way they would never count the problem my feel is that they put refund option out there hope that custom will make mistake did so they can then wash their hand situate until save money give been an execute club member year they simple didn care they said there not they could do in sure if one ba execute friend or family member had gone through the staff there would have been given instruct make thing right use be fan ba but they have really gone downhill my opinion on use up my remain also travel credit will cancel my execute club membership never fly with them again,✅ Trip Verified ,494,8
